Array<Integer>	handPosition
Long	durability
Boolean	twoHanded
String	shortdescription
Integer	durability
String	rarity
Array<ArrayList>	durabilityRegenChart
Double	tileDamage
Array<Double>	dropCollision
String	idleSound
Integer	blockRadius
Integer	swingFinish
Double	animationCycle
Integer	frames
String	description
String	inventoryIcon
Double	fireTime
Boolean	pointable
String	itemName
String	strikeSound
Integer	durabilityPerUse
Double	tileDamageBlunted
Integer	maxStack
String	inspectionKind
String	image
Integer	altBlockRadius
String	largeImage
Integer	swingStart
